SCHOOL,PROGRAM,DEGREE,ONLINE,ONCAMPUS,COUNTRY,STATE,CITY,DEPARTMENT,URL
Regis University,Graduate Certificate in Data Science,C,T,F,US,CO,Denver,College of Computer and Information Sciences,http://www.regis.edu/CCIS/Academics/Degrees-Programs/Certificates/GC-Data-Science.aspx
Regis University,Data Science,M,T,T,US,CO,Denver,College of Computer and Information Sciences,http://www.regis.edu/CCIS/Academics/Degrees-Programs/Graduate-Programs/MS-Data-Sciences.aspx
University of Colorado Boulder,Master of Science in Business Analytics,M,F,T,US,CO,Boulder,Leeds School of Business,http://www.colorado.edu/leedsms/ms-programs
University of Colorado Denver,MS in Decision Sciences,M,F,T,US,CO,Denver,Business School,http://catalog.ucdenver.edu/preview_program.php?catoid=10&poid=2105&returnto=1350
University of Colorado Denver,Graduate Applied Statistics Certificate,C,F,T,US,CO,Denver,College of Arts and Sciences: Department of Mathematical and Statistical Sc,http://catalog.ucdenver.edu/preview_program.php?catoid=7&poid=1329&returnto=827
University of Colorado Denver,MS in Business Analytics - Big Data Specialization,M,T,F,US,CO,Denver,Business School,http://www.ucdenver.edu/academics/colleges/business/degrees/ms/business-analytics/Pages/Big-Data.aspx
University of Colorado Denver,MS in Information Systems - Business Intelligence,M,T,F,US,CO,Denver,Business School,http://www.ucdenver.edu/academics/colleges/business/degrees/ms/IS/Pages/Business-Intelligence-Systems.aspx
University of Colorado Denver,Master of Science in Information Systems,M,F,T,US,CO,Denver,Business School,http://www.ucdenver.edu/academics/colleges/business/degrees/ms/IS/Pages/Information-Systems.aspx
University of Denver,Business Information and Analytics Certificate,C,F,T,US,CO,Denver,Daniels College of Business,http://daniels.du.edu/academic-programs/certificates-professional-development/graduate-business-certificates/business-information-analytics/
University of Denver,Master of Science in Business Analytics,M,T,F,US,CO,Denver,Daniels College of Business,http://daniels.du.edu/masters-degrees/business-analytics/
Central Connecticut State University,Data Mining,M,T,F,US,CT,,,http://web.ccsu.edu/datamining/
Central Connecticut State University,Graduate Certificate in Data Mining,C,T,F,US,CT,New Britain,Department of Mathematical Sciences,http://web.ccsu.edu/datamining/graduate%20certificate.html
Quinnipiac University,Master of Science in Business Analytics,M,T,F,US,CT,Hamden,School of Business,http://www.quinnipiac.edu/academics/qu-online/online-programs/online-graduate-programs/master-of-science-in-business-analytics/
University of Connecticut,Master of Science in Business Analytics and Project Management,M,F,T,US,CT,Storrs,School of Business,http://msbapm.business.uconn.edu/
University of New Haven,M.B.A. - Business Intelligence Concentration,M,F,T,US,CT,West Haven,College of Business,http://catalog.newhaven.edu/preview_program.php?catoid=3&poid=673&returnto=604
American University,MS Business Analytics,M,F,T,US,DC,Washington,Kogod School of Business,http://www.american.edu/kogod/graduate/MS-ANLT.cfm
American University,Online MS Analytics,M,T,F,US,DC,Washington,Kogod School of Business,http://onlinebusiness.american.edu/analytics/
George Washington University,Master of Science in Data Science,M,F,T,US,DC,Washington,Columbian College of Arts and Sciences,http://datasci.columbian.gwu.edu/why-data-science-gw
Georgetown University,"Master of Science in Analytics, Concentration in Data Sciences (MS-DS)",M,F,T,US,DC,Washington,Graduate School of Arts & Sciences,http://gradanalytics.georgetown.edu/
The George Washington University,Business Analytics,M,F,T,US,DC,,Business,http://business.gwu.edu/msba
Florida International University,Master of Science in Health Informatics and Management Systems,M,F,T,US,FL,Miami,Chapman Graduate School of Business,http://business.fiu.edu/fiubusiness/mshims.cfm
Florida Polytechnic University,Big Data Analytics,B,F,T,US,FL,Lakeland,College of Innovation & Technology,https://floridapolytechnic.org/academics/advanced-technology/big-data-analytics/
Full Sail University,Master of Science in Business Intelligence,M,T,F,US,FL,Winter Park,Full Sail University,http://www.fullsail.edu/degrees/online/business-intelligence-masters
Nova Southeastern University,Master of Science in Biomedical Informatics,M,T,T,US,FL,Fort Lauderdale,College of Osteopathic Medicine,http://medicine.nova.edu/msbi/curriculum.html
Nova Southeastern University,Graduate Certificate in Business Intelligence / Analytics,C,T,F,US,FL,Fort Lauderdale,Graduate School of Computer and Information Sciences,http://www.scis.nova.edu/masters/certificate_bi.html
Pasco-Hernando State College,Healthcare Informatics Specialist Certificate,C,T,F,US,FL,New Port Richey,Health and Information Technology,http://phsc.edu/program/healthcare-informatics-specialist-certificate
University of Central Florida,M.S.  in Statistical Computing Data Mining Track,M,F,T,US,FL,Orlando,Department of Statistics,http://dms.stat.ucf.edu/
University of Central Florida,Master of Science in Health Care Informatics,M,F,T,US,FL,Orlando,Department of Health Management & Informatics,http://www.ce.ucf.edu/Program/2626/Master-Of-Science-In-Health-Care-Informatics/
University of Central Florida,Professional Science Master's Program in Health Care Informatics,M,F,T,US,FL,Orlando,Department of Health Management and Informatics,http://www.graduatecatalog.ucf.edu/programs/Program.aspx?ID=5852
University of Florida,Master of Science in Information Systems and Operations Management (Business Intelligence & Analytics specialization),M,F,T,US,FL,Gainesville,Warrington College of Business Administration,http://warrington.ufl.edu/graduate/academics/ms-isom/
University of Miami,Master of Science in Business Analytics,M,F,T,US,FL,Coral Gables,University of Miami School of Business,http://www.bus.miami.edu/graduate-programs/specialized-masters/analytics/index.html
University of South Florida Sarasota-Manatee,Business Analytics Certificate,C,T,F,US,FL,Sarasota,College of Business,http://usfsm.edu/catalog/graduate/college-of-business-degree-programs/college-of-business-certificate-programs/business-analytics-certificate/
University of South Florida-Main Campus,Analytics and Business Intelligence Certificate,C,T,F,US,FL,Tampa,Muma College of Business,http://www.usf.edu/innovative-education/programs/graduate-certificates/analytics-and-business-intelligence.aspx
University of South Florida-Main Campus,MS in Health Informatics Online,M,F,T,US,FL,Tampa,Morsani College of Medicine,http://www.usfhealthonline.com/programs/masters-degree/ms-health-informatics/
Georgia Southern University,M.S. - Computer Science with concentration in Data and Knowledge Systems,M,T,F,US,GA,Statesboro,Department of Computer Sciences,http://ceit.georgiasouthern.edu/cs/degrees/mscs/
Georgia State University,Master of Science in Analytics,M,F,T,US,GA,Atlanta,Robinson College of Business,http://specialized.robinson.gsu.edu/msa/
Georgia Tech,MS in Analytics,M,T,F,US,GA,Atlanta,"Colleges of Business, Computing, and Engineering",http://www.analytics.gatech.edu/
Georgia Tech,MS - Computer Science with specialization in machine learning,M,F,T,US,GA,Atlanta,College of Computing,http://www.cc.gatech.edu/future/masters/mscs/program
Kennesaw State University,Analytics and Data Science,D,F,T,US,GA,Kennesaw,Department of Statistics and Analytical Sciences,https://datascience.kennesaw.edu/
Kennesaw State University,Online Certificate in Applied Statistics,C,T,F,US,GA,Kennesaw,Department of Statistics and Analytical Sciences,https://analytics.kennesaw.edu/academics/certificate/appl-stat/index.html
Kennesaw State University,Master of Science in Applied Statistics,M,F,T,US,GA,Kennesaw,Department of Mathematics & Statistics,https://analytics.kennesaw.edu/academics/grad/MSAS/index.html
Mercer University,M.S. In Business Analytics,M,F,T,US,GA,Macon,Stetson School of Business and Economics,http://business.mercer.edu/business-analytics/
University of Georgia,MBA with concentration in Business Analytics,M,T,T,US,GA,Athens,Terry College of Business,http://www.terry.uga.edu/mba/fulltime/concentrations/business-analytics
Loras College,MBA - Business Analytics,M,T,F,US,IA,Dubuque,Loras College,http://www.loras.edu/Academics/MBA-Business-Analytics.aspx
Northwestern College,Analytics Certificate,C,F,T,US,IA,Orange City,Adult and Graduate Studies,http://online.nwciowa.edu/analytics
The University of Iowa,Business Analytics,B,F,T,US,IA,Iowa City,Business,http://tippie.uiowa.edu/management-sciences/undergraduate.cfm
The University of Iowa,Business Analytics Certificate Program,C,F,T,US,IA,Cedar Rapids,Business,http://tippie.uiowa.edu/business-analytics
The University of Iowa,Business Analytics Graduate Program,M,F,T,US,IA,Cedar Rapids,Business,http://tippie.uiowa.edu/business-analytics
Aurora University,Master of Science in Digital Marketing and Analytics,M,F,T,US,IL,Aurora,Dunham School of Business,http://www.aurora.edu/academics/graduate/marketing/index.html
Benedictine University,Master of Science in Business Analytics,M,F,T,US,IL,Lisle,College of Business,http://www.ben.edu/college-of-business/graduate/master-of-science-in-business-analytics.cfm
DePaul University,M.S. in Predictive Analytics,M,F,T,US,IL,Chicago,College of Computing and Digital Media,http://www.cdm.depaul.edu/academics/Pages/MS-In-Predictive-Analytics.aspx
DePaul University,Information Systems (MS) - Business Intelligence Concentration,M,T,F,US,IL,Chicago,College of Computing and Digital Media,http://www.depaul.edu/university-catalog/degree-requirements/graduate/cdm/information-systems-ms/concentrations/Pages/business-intelligence.aspx
Elmhurst College,M.S. in Data Science,M,F,T,US,IL,Elmhurst,Elmhurst College Online Center,http://public.elmhurst.edu/data_science
Elmhurst College,Graduate Certificate in Data Science,C,F,T,US,IL,Elmhurst,Elmhurst College Online Center,http://public.elmhurst.edu/data_science/227880201.html
Illinois Institute of Technology,MS - CS specialization in Data Analytics (with co-terminal BS/MS option),M,T,F,US,IL,Chicago,College of Science,http://science.iit.edu/programs/graduate/master-computer-science-specialization-data-analytics
Illinois Institute of Technology,Master of Data Science,M,T,T,US,IL,Chicago,College of Science,http://science.iit.edu/programs/graduate/master-data-science
Illinois Institute of Technology,Data Analytics,M,F,T,US,IL,,Computer Science,http://science.iit.edu/programs/graduate/master-computer-science-specialization-data-analytics
Lewis University,Data Science,M,T,T,US,IL,,Computer Science,http://www.lewisu.edu/academics/data-science/index.htm
Lewis University,"Business Analytics, M.S.",M,T,F,US,IL,Romeoville,College of Business,https://www.lewisu.edu/academics/business-analytics/index.htm
Loyola University Chicago,M.S. in Applied Statistics,M,F,T,US,IL,Chicago,Mathematics and Statistics,http://www.luc.edu/math/msappliedstat.shtml
Loyola University Chicago,Graduate Certificate in Business Intelligence and Data Warehousing,C,F,T,US,IL,Chicago,Quinlan School of Business,http://www.luc.edu/quinlan/mba/academics/certificates-data-warehousing/
Northwestern University,Certificate in Analytics and Business Intelligence for IT Professionals,C,T,T,US,IL,Evanston,School of Professional Studies,http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/index.php
Northwestern University,Master of Science in Information Systems with Concentration in Analytics and Business Intelligence,M,F,T,US,IL,Evanston,School of Professional Studies,http://sps.northwestern.edu/program-areas/graduate/information-systems/index.php
Northwestern University,Certificate in Predictive Business Analytics,C,F,T,US,IL,Evanston,Bridge School of Management,http://sps.northwestern.edu/program-areas/professional-development/bridge-school/index.php
Northwestern University,Master of Science in Analytics,M,F,T,US,IL,Evanston,McCormick School of Engineering,http://www.analytics.northwestern.edu/
Northwestern University,Master of Science in Predictive Analytics Online,M,F,T,US,IL,Evanston,School of Continuing Studies,http://sps.northwestern.edu/program-areas/graduate/predictive-analytics/index.php
University of Chicago,Master of Science in Computational Analysis & Public Policy (CAPP),M,F,T,US,IL,Chicago,Harris School of Public Policy & Computer Science Department,http://capp.sites.uchicago.edu/
University of Chicago,Master of Science in Analytics,M,F,T,US,IL,Chicago,Graham School of Continuing Liberal and Professional Studies,http://grahamschool.uchicago.edu/credit/master-science-analytics/index
University of Illinois at Chicago,Health Informatics (IBHE-Approved Certificate),C,T,F,US,IL,Chicago,College of Applied Health Sciences,http://catalog.uic.edu/gcat/colleges-schools/applied-health-sciences/him-cert/
University of Illinois at Chicago,Master of Science in Health Informatics Research Track,M,T,F,US,IL,Chicago,Department of Biomedical and Health Information Sciences,http://healthinformatics.uic.edu/
University of Illinois at Springfield,Graduate Certificate in Business Intelligence,C,F,T,US,IL,Springfield,Department of Management Information Systems,http://mis.uis.edu/BIcertificate.html
University of Illinois at Urbana-Champaign,Master of Science in Statistics: Analytics Concentration,M,F,T,US,IL,Champaign,Department of Statistics,http://www.stat.illinois.edu/degrees/msanalytics.shtml
University of St Francis,Graduate Certificate in Business Analytics,C,F,T,US,IL,Joliet,College of Business and Health Administration,http://www.stfrancis.edu/academics/college-of-business/graduate-certificate-business-analytics/
University of St Francis,MBA with a concentration in Business Analytics,M,T,F,US,IL,Joliet,College of Business and Health Administration,http://www.stfrancis.edu/academics/master-of-business-administration/#.VCQeLEu0Zg0
Indiana University Bloomington,MBA (Major in Business Analytics),M,T,F,US,IN,Bloomington,Kelley School of Business,http://kelley.iu.edu/mba/academics/MajorsMinors/page38907.html
Indiana University Bloomington,Online MS in Business Analytics,M,F,T,US,IN,Bloomington,Kelley School of Business,http://kelley.iu.edu/onlineMBA/Online/MSBA/page43444.cfm
Indiana University Bloomington,Business Analytics Certificate Program,C,F,T,US,IN,Bloomington,Kelley School of Business: Department of Operations and Decision Technologi,http://www.kelley.iu.edu/ODT/AboutUs/DecisionSciences/page11147.html
Indiana University Bloomington,Master of Science in Data Science,M,F,T,US,IN,Bloomington,School of Informatics and Computing,http://www.soic.indiana.edu/graduate/degrees/data-science/ms-data-science/index.html
Indiana University Bloomington,Online Certificate in Data Science (Graduate),C,F,T,US,IN,Bloomington,School of Informatics and Computing,http://www.soic.indiana.edu/graduate/programs/data-science/index.shtml
Indiana University-Purdue University Indianapolis,Informatics,D,F,T,US,IN,,School of Informatics,http://informatics.iupui.edu/graduate/phd/
Indiana University-Purdue University-Indianapolis,M.S. in Mathematics: Applied Statistics,M,T,F,US,IN,Indianapolis,Department of Mathematical Sciences,http://math.iupui.edu/graduate/degrees/ms/stats
Indiana University-Purdue University-Indianapolis,Master of Science in Bioinformatics,M,T,F,US,IN,Indianapolis,Department of BioHealth Informatics,http://soic.iupui.edu/biohealth/graduate/bioinformatics-masters/
Purdue University-Main Campus,"MBA, Specialization in Business Analytics",M,F,T,US,IN,West Lafayette,Krannert School of Management,http://www.krannert.purdue.edu/masters/programs/mba/option-areas/business-analytics/home.asp
Purdue University-Main Campus,Certificate in Applied Statistics,C,F,T,US,IN,West Lafayette,Department of Statistics,https://engineering.purdue.edu/ProEd/credit/applied_statistics
Saint Mary's College,Online Master of Science in Data Science,M,T,T,US,IN,Notre Dame,Department of Mathematics and Computer Science,https://grad.saintmarys.edu/academic-programs/ms-data-science
University of Notre Dame,Master of Science in Applied and Computational Mathematics and Statistics with a specialty in Applied Statistics,M,F,T,US,IN,Notre Dame,Department of Applied and Computational Mathematics and Statistics (ACMS),http://acms.nd.edu/graduate-programs/professional-master-s-programs/master-of-science-in-applied-statistics/
University of Notre Dame,Master of Science in Business Analytics,M,T,F,US,IN,Notre Dame,Mendoza College of Business,https://mendoza.nd.edu/programs/specialized-masters/ms-in-business-analytics/
University of Kansas,Business Analytics,C,F,T,US,KS,Lawrence,School of Business,http://business.ku.edu/business-analytics
Northern Kentucky University,Data Science,B,F,T,US,KY,,Computer Science,http://informatics.nku.edu/content/informatics/departments/computer-science/programs/datascience.html
University of Louisville,Certificate in Data Mining,C,F,T,US,KY,Louisville,Department of Computer Engineering & Computer Science,http://louisville.edu/speed/computer/graduate-studies/dataMining
Louisiana State University,Master of Science in Analytics,M,F,T,US,LA,Baton Rouge,Department of Information Systems & Decision Sciences,http://businessanalytics.lsu.edu/
Babson College,MBA with Business Analytics Concentration,M,F,T,US,MA,Wellesley,F.W. Olin Graduate School of Business,http://www.babson.edu/academics/graduate/mba/concentrations/pages/business-analytics.aspx
Becker College,Data Science,B,F,T,US,MA,,Data Science,http://www.becker.edu/academics/departments-programs/data-science/
Bentley University,Master of Science In Marketing Analytics,M,F,T,US,MA,Waltham,Graduate School of Business,http://www.bentley.edu/graduate/academics/ms-programs/marketing-analytics
Bentley University,Master of Business Analytics,M,F,T,US,MA,Waltham,Graduate School of Business,http://www.bentley.edu/graduate/degree-programs/ms-programs/business-analytics
Bentley University,Graduate Certificate in Business Analytics,C,F,T,US,MA,Waltham,Graduate School of Business,http://www.bentley.edu/graduate/special-programs/graduate-certificate-programs
Brandeis University,Master of Arts in Computational Linguistics,M,F,T,US,MA,Waltham,Mitchom School of Computer Science,http://www.brandeis.edu/gsas/programs/comp_ling.html
Brandeis University,M.S. in Strategic Analytics,M,F,T,US,MA,Waltham,Graduate Professional Studies,https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html
Harvard University,Data Science Certificate,C,T,F,US,MA,Cambridge,Extension School,http://www.extension.harvard.edu/professional-certificates/data-science-certificate
Harvard University,Master of Science in Computational Biology and Quantitative Genetics,M,F,T,US,MA,Cambridge,School of Public Health,http://www.hsph.harvard.edu/sm-computational-biology/
Harvard University,Master of Science in Computational Science and Engineering,M,F,T,US,MA,Cambridge,School of Engineering and Applied Sciences,http://www.seas.harvard.edu/computational-science-and-engineering/master-science-cse
Northeastern University,MS in Urban Informatics,M,T,F,US,MA,Boston,Interdisciplinary,http://nuweb12.neu.edu/datascience/ms-in-urban-informatics/
Northeastern University,Graduate Certificate in Data Science,C,F,T,US,MA,Boston,Interdisciplinary,http://www.ccs.neu.edu/graduate/degree-programs/certificate-data-science/
Northeastern University,Master of Professional Studies in Informatics,M,T,F,US,MA,Boston,College of Professional Studies,http://www.cps.neu.edu/degree-programs/graduate/masters-degrees/masters-informatics.php
Northeastern University,Master of Science in Health Informatics,M,F,T,US,MA,Boston,College of Computer and Information Science,http://www.northeastern.edu/align/degree-programs/ms-in-health-informatics/
Northeastern University,Graduate Certificate in Data Science,C,T,F,US,MA,Boston,College of Computer and Information Sciences,http://www.northeastern.edu/datascience/data-science-certificate/
Northeastern University,Master of Science in Business Analytics,M,F,T,US,MA,Boston,Interdisciplinary,http://www.northeastern.edu/datascience/ms-in-business-analytics/
Northeastern University,Graduate Certificate in Urban Informatics,C,F,T,US,MA,Boston,Interdisciplinary,http://www.northeastern.edu/datascience/urban-informatics-certificate/
